brand,count_like,count_comment,followers,y,text_nov,text_div,text_DS,text_ATI,image_nov,image_div,image_DS,image_ATI,ATI_final,DS_final,caption,ocr_text
hanlin.tea,9,0,995.0,0.00904513522477161,0.34256354,0.8741878,0.60837567,39.162434,0.2904504,0.7933049,0.6172149,38.278507,38.278507,0.6172149,"🍹8月大放送！🌈🌈🌈
這個夏天喝點「美」的更對味😋
⏰2025/8/1 - 8/22
「美人系列」第二杯只要49折！(每日限量30組)
週末還有超狂加碼～～
✨ 國！宴！珍！奶！買一送一！✨
兩度受邀參加國慶酒會，招待國際外賓暨大使的台灣飲品🧋每日限量20組～誰快誰喝到！
#翰林茶館 #翰林茶棧 #翰林鍋物 #生活從一杯好茶開始 #美人系列49折 #國宴珍奶買一送一 #限量搶喝中",翰林 每日限量30組 美人系列 冰島美入/東方美入 林 大杯第三杯 49折 翰林 (限外帶同品項) 注意聿項 1.活動品項依現場供應為主 每人限購2組 不與其他優惠並用 2.翰林國際茶餐飲集團保有本優惠 活動解釋 變更 中止之權力
hanlin.tea,13,18,995.0,0.013065195324670103,0.3765095,0.92013115,0.6483203,35.16797,0.6453824,0.92924327,0.82984054,17.015945,17.015945,0.82984054,"翰林國際冷笑話大賽🧊開戰
#留言區參賽有🎁
沒有笑點沒關係🥶不管幾點🕒
現在來點蕎麥系列飲品🫵
無咖啡因✨下午晚上喝也不失眠
全天候享用的好選擇
✅蕎麥茶
嚴選烘焙蕎麥沖泡，養生首選
✅蕎麥奶茶
喬麥香x奶香交響曲🎵入口滑順
✅蕎麥鮮奶茶
新鮮鮮奶🥛注入蕎麥茶香，濃而不膩
好康活動倒數👇
即日起至7/31 蕎麥系列外帶大杯 #第二杯半價
⚠️注意事項
1.門市優惠活動限外帶大杯同品項，不與其他優惠併用。
2.門市優惠活動適用於翰林茶館/翰林茶棧/翰林鍋物，惟翰林茶館-松山機場店/桃園機場店、翰林茶棧-台南民族店不適用門市優惠活動。
3.翰林國際茶餐飲集團擁有最終活動解釋權。‎
#翰林茶館 #翰林茶棧 #翰林鍋物 #國際冷笑話日 #無咖啡因 #蕎麥茶 #蕎麥奶茶 #蕎麥鮮奶茶",際冷笑話大賽(10) 最難笑的請喝飲料 你知道幾點不能講笑話嗎 ? 點 因為一點都不好笑 真的一點都不好笑1
hanlin.tea,29,16,995.0,0.029145435724264077,0.22781299,0.97679824,0.6023056,39.76944,0.3942755,0.90052176,0.723244,27.675598,27.675598,0.723244,"#答對送好禮
📝翰林隨堂考📝出題啦！
小明出門幫全家大小買飲料，
「阿公阿嬤說喝茶晚上會睡不著怎麼辦⁉️ 」
以下哪些飲料不含咖啡因☕️早晚飲用都安心😴
✏️蕎麥茶
✏️蕎麥奶茶
✏️蕎麥鮮奶茶
✏️皇家奶茶
同學們快來交卷🔽#驚喜送🎁
STEP1 ✨截圖此張考卷
STEP2 ✨圈選出無咖啡因飲料品項(可複選)，並私訊翰林茶館官方IG圖片
STEP3 ✨於留言區留言「已交卷，老師請批改！」
小編將會親自下場改作業💯
🎁全對將隨機獎勵15位乖寶寶抽出翰林餐飲集團APP電子兌換券X2張
憑電子兌換券可任選一杯蕎麥系列新品 蕎麥茶/蕎麥奶茶/蕎麥鮮奶茶 中杯兌換
⚠️注意事項
1.即日起至7/20(日)23:59於此貼文完成指定動作即可參加抽獎，若不符規定則取消抽獎資格不另行通知。
2.若使用者以人頭帳號或截圖照片反覆使用等其他影響活動公平性之行為參與活動，經小編發現或經第三人檢舉，則翰林有權取消使用者之參與、得獎資格，不另行通知。
3.得獎者僅取一次資格，同一帳號不重覆獲獎。
4.Instagram得獎名單將於2025年7月23日前公告在本貼文下方留言區。得獎者可獲得翰林餐飲集團APP電子兌換卷，每名抽兩張，共15名。本活動之獎項不得轉換、轉讓或折換現金，電子兌換券使用辦法請依APP券上説明爲準。
5.得獎者需先註冊翰林APP會員(/tbkzv)， 並請於開獎日後5天內，以私訊方式回傳 : 姓名&amp;註冊手機，逾期視同放棄不再另行通知。且得獎者若因提供資訊有誤，而導致無法收到獎品，主辦方恕不負責。
6.翰林國際茶餐飲集團擁有最終活動解釋權。‎
#翰林茶館 #翰林茶棧 #翰林鍋物 #蕎麥茶 #蕎麥奶茶 #蕎麥鮮奶茶 #無咖啡因","翰林 翰5彬隨;堂莞考 么 小明""出!門;幫%全,家;犬*小買,飲,料芸, 己-知#阿+公""阿+嬤%晚;上*喝:茶,容2易-失-眠號, 請_幫%小明""找出下;列何[者為* 含,咖啡;因;的%飲;料*並2圈%選,出[來"" 蓄.麥%奶%茶 皇家""奶%茶; 蓄.麥%茶 蓄.麥%鮮;奶;茶 家長簽名 得分"
hanlin.tea,6,1,995.0,0.00603009014984774,0.5420216,0.9366007,0.7393111,26.06889,0.7029586,0.93865573,0.85611904,14.388096,14.388096,0.85611904,"#2025聯合勸募一日捐小眾聯合影展開跑 🎬
你是否曾經發現，
在大眾關注焦點之外，
還有許多消失在人們視野的公益小眾，
也需要你的看見……
🌸🌸🌸
2025聯合勸募一日捐透過「小眾聯合影展」形式，由愛心大使*陳柏霖*及來自各弱勢族群的真實人物，帶大家看見社會角落的真實故事。我們始終相信「只要多一個人看見，公益就不再是小眾！」
🌸🌸🌸
#翰林茶館 和您一起關注，響應「一日捐」行動，幫助 16 類弱勢族群走出無助、邁向希望。
🌸🌸🌸
#一日捐 #小眾聯合影展 #聯合勸募一日捐 #聯合勸募一日捐小眾聯合影展 #一日捐助16類弱勢族群 #多一個人看見公益就不再小眾 #聯合勸募",王心+仕 陳柏* 耶台町葦 United 1T 小眾聯合影展 你 的一日捐 幫16類弱勢脫離無助 全台小眾 牽手登上螢鼎 公益慈普 最動人片段 電影史上 最隹觀點轉換 聯合磡募一日捐 小眾聯合影展lQ
hanlin.tea,6,0,995.0,0.00603009014984774,0.3957009,0.9218557,0.6587783,34.12217,0.3082078,0.83439416,0.6501337,34.986626,34.986626,0.6501337,"台中的朋友久等了～😎😘
#翰林茶棧 正式進駐 #中友百貨 B3F美食街啦！
🎊🎊🎊
不只有人氣NO.1的原創珍珠奶茶和熱騰騰的關東煮，以及經典套餐系列：三杯雞、廣式蠔油豬里肌、梅干扣肉、泰式檸檬鱸魚任君挑選！😋
📣還有開幕超級好康~👀❤️
🎯7/4(五)~7/7(一)
原創珍珠奶茶系列外帶大杯✨買一送一✨
(每日限量50組)
🎯7/4(五)~7/16(三) 12:00~18:00
蕎麥奶茶外帶大杯✨買一送一✨
(每人限購2組)
7/2搶先試營運，快揪朋友來吃飽喝足💯👍
☎️：04-22296177
🏢：台中市北區三民路3段161號B棟B3F
#新店報到 #珍奶始祖在這裡 #開幕慶買一送一",翰林茶棧 HANLIN TEA HOuSE 台中中友店- 新店開幕 7/2試營運 嶄林茶棧 1111131111111110_3= 噪第一杯珍珠奶茶 Ine Oig1 Bubble Tea 3n:e19%6 Grand Opening (出] 麒煮 4
hanlin.tea,7,0,995.0,0.007035105174822364,0.30172312,0.92371106,0.6127171,38.72829,0.24737354,0.8860084,0.6623707,33.76293,33.76293,0.6623707,"蕎麥初韻🌾 開麥啦~~👏👏👏
#新品上市 #無咖啡因
翰林以高品質烘焙蕎麥為基底，帶有穀物焙炒後的淡淡香甜，並打造三款香氣馥郁、口感滑順的蕎麥系列，帶您一口品味自然與純粹，從早到晚都能安心享用🥰🥰
📣 期間限定優惠開跑！
6/28~7/13🧡蕎麥奶茶外帶大杯 #買一送一
(優惠時段：12:00~20:00，每人限購2組)
7/14~7/31🧡蕎麥系列外帶大杯 #第二杯半價
(限同品項)
⚠注意事項：
1.活動限外帶大杯同品項，不與其他優惠併用。
2.翰林茶館-松山機場店/桃園機場店、翰林茶棧-台南民族店不適用本活動。
3.翰林國際茶餐飲集團保有本活動解釋、修改、中止之權力。
#翰林茶館 #翰林茶棧 #翰林鍋物 #健康少負擔","@ 翰林 DECAF 無咖啡因系列 喬麥初韻 6,28-113 $兆峙段 : .12:00~20:00 蒼麥奶茶買亡送= 1/14-7/31 蓄麥係列第二杯半價 棻 黏 翰林 翰林 翰林 蓄 紫 s櫛 蔡 4_ 505"
hanlin.tea,9,0,995.0,0.00904513522477161,0.28856182,0.9055686,0.5970652,40.29348,0.25962833,0.76700646,0.58933234,41.066765,41.066765,0.58933234,"它來了～它真的來了！🤩
帶著溫潤回甘🍃餘韻無窮的茶香登場！
無論您是鐵觀音的死忠愛好者，還是剛入坑的新茶控~這一波香氣濃郁的超值好康絕對不容錯過😉💗
⏰2025/6/16~6/30
鐵觀音系列🔸第2杯半價🔸
⚠️注意事項
1.活動限外帶大杯同品項，不得與其他優惠併用。
2.翰林茶棧-台南民族店不適用本活動。
2.翰林國際茶餐飲集團保有本活動解釋、修改、中止之權力。 #翰林茶館 #翰林茶棧 #翰林鍋物 #鐵觀音 #生活從一杯好茶開始",鐵觀音系列 第2杯半價 限大杯同品項 6/168 > 6/308 碳燒鐵觀音 鐵觀音奶茶 鮮奶鐵觀音 翰林 Cro Orloin ofBubb 翰林 Orlain ofBubbl6
hanlin.tea,7,0,995.0,0.007035105174822364,0.384839,0.9181158,0.6514774,34.85226,0.32189277,0.8135975,0.6414119,35.85881,35.85881,0.6414119,"🍎夏日清爽提案來啦！
夏天，就該喝點不一樣的😎
酸甜剛好，解膩又消暑🏖
⏰2025/6/1起~
蘋果風味茶醋、蘋果風味醋
‼️第二杯半價‼️
每週六、日(12:00–18:00)加碼
‼️買一送一‼️
另外，別忘了加入我們的App會員~
立即領取2張「買一送一券😍」(限平日使用)
👉/tbkzv
⚠注意事項：
1.活動限外帶同品項，數量有限售完為止。
2.活動不與其他優惠合併使用。
3.翰林茶館松山機場店不適用。
4.翰林國際茶餐飲集團保有本優惠活動解釋、變更、中止之權力。
#翰林茶館 #翰林茶棧 #翰林鍋物 #蘋果風味 #清爽一夏",6/1起~售完為止 蘋果 第二杯半價 風味 系列 週六`週日12:00~18:00 (外帶同品項特大杯) 買一送- (單筆限購2組) 翰林 Orloin of Bubbl6 APP會員加碼送 買一送一券x2 (限平日使用) 翰林 Ta Orloln of Bubbl6
hanlin.tea,9,0,995.0,0.00904513522477161,0.30479422,0.9308917,0.617843,38.215702,0.27249297,0.7873623,0.6070649,39.29351,39.29351,0.6070649,"今天不嗜甜，人生照樣甜❣
全民無糖日，翰您一起加入無糖行動💪😉
⏰2025/5/12~5/31
原茶系列🔸無糖無蜜🔸特大杯8折！
⚠️注意事項
1.活動限外帶特大杯，不得與其他優惠併用。
2.翰林國際茶餐飲集團保有本活動解釋、修改、中止之權力。",5/12(-) ~5/31(六) 全 民 無糖日 [原茶系列] 香檳紅茶 翰林綠茶 翡翠綠茶 清香鳥龍茶 碳燒鐵觀音 無糖無蜜 每日-12 : 00~20 : 00 Toorloin 翰林 ofBubbls #0 折 舌勤限外帶特大杯 林國際茶餐飲集團保有本佞患活動解釋 不得矣其他優惠並用 中止之榷力 Cos Orlo
hanlin.tea,6,0,995.0,0.00603009014984774,0.36500025,0.94214886,0.6535746,34.64254,0.1864511,0.82531154,0.60159487,39.840515,39.840515,0.60159487,"#新品上市 💚一抹芭樂c💚清新整夏！🌼
翰林全新芭樂系列，三種風味一次體驗~
這個夏天必需喝好喝滿！😉👌
✨芭樂紅檸✨
醇厚紅茶遇上芭樂的果香，佐以新鮮檸檬🍋的酸爽，完美平衡清新與濃郁~一口瞬間喚醒味蕾！
✨芭樂綠檸✨
清香綠茶搭配芭樂與檸檬的黃金比例，一杯入喉，清爽提神🤩無論午後解膩還是工作提神，讓人愛不釋手！
✨芭樂梅綠✨
酸甜梅汁邂逅清爽綠茶，清香入喉，甜在心頭！您的果系新戀愛，現在就開始~💓
#翰林茶館 #翰林茶棧 #翰林鍋物 #優惠活動 #買一送一 #第二杯半價",@ 翰林 一抹芭桀@ 芭樂紅檸 213. 6+= 310. 18+1 芭樂梅綠 #223. 93xf 9337.81大+ 芭樂綠檸 0213. 6*卡 9310. 18/ 大 杯 $95 (特大h)$110 僅供冷飲
hanlin.tea,6,0,995.0,0.00603009014984774,0.4236571,0.8386556,0.6311563,36.88437,0.28085,0.81203586,0.6260247,37.39753,37.39753,0.6260247,"💐寵愛媽咪520😘❤️
翰您一起送給媽咪最甜美的驚喜🎁
⏰2025/5/1~5/11
#翰林茶棧 #翰林鍋物
消費關東煮或鍋物~🍢🍲
只要再加52元❗️
即可享大杯飲品任選乙杯 🥤🧋
#翰林茶館
消費即可享功夫茶麵第二包優惠52元‼️
下殺6折優惠，讓美味更實惠！😋
這個母親節，快來和媽媽一起享受專屬優惠吧🥰💝
#寵愛媽咪 #母親節優惠 #功夫茶麵",寵 520 變媽咪 HAPPY MOTHER'S DAY 購買 關東煮] 系列 孛52元 加價大杯飲品任選一杯 最高價折扣約5折) 林 of Bubbls 翰林 Orioin of BublleT 5.1(四) 5.11() 注意事項 1.本活動不得與其牠優惠合併使用 2.翰林國際茶餐飲集團保有本優惠活動解釋 娑更 中止之權力6 HANLIN蠱 matonaf盞鑫歙黑盟 International EnL
hanlin.tea,11,0,995.0,0.011055165274720858,0.30781984,0.81474113,0.5612805,43.871952,0.19673787,0.85833097,0.62665373,37.334625,37.334625,0.62665373,"📣📣📣珍奶控集合啦~~~🥳
⏰4/30~5/2 #國際珍珠奶茶日
原創珍奶系列🌟第二杯半價🌟
#翰林茶館 #翰林茶棧 #翰林鍋物 通通有~👋
一起來品嚐風靡全世界的經典😍🧋",出 際珍珠如茶日 4/30(=) 5/2() 原創珍珠奶茶蜀 特大杯第二杯 半價 林 Bubbl4 優惠 翰林 (限同品項 國宴除外) Cie Orloin of Bubbl6 1.本活動不得與其他優惡合件匝用 注惹'項: 2.翰林區際茶餐飢集皿保有本優惡活勁解輝 變更 中止之懼力
hanlin.tea,3,0,995.0,0.00301504507492387,0.5798421,0.96060264,0.77022237,22.977764,0.5476678,0.78408635,0.70129704,29.870296,29.870296,0.70129704,,"H ANLI N TE A RO O M 翰林茶館 營業公告 親愛的顧客您好: 由於台電停電維護設備, 本店4/29(二)店休一天 不便之處,敬請見諒 . 台南赤崁店"
hanlin.tea,11,2,995.0,0.011055165274720858,0.088841505,0.90840495,0.49862322,50.137676,0.4897133,0.88332945,0.7454926,25.450743,25.450743,0.7454926,"下午小確幸時間到！😍😍😍
⏰4/15～5/15｜14:00pm～17:00pm
來指定門市內用即可享「✨飲料無限續✨」
只要低消一杯飲料或一份套餐~~~
就能暢飲多款人氣飲品喲🧋🍻
還不趕緊揪朋友一起來聊天放空嗎？😘👍
⚠活動店家🈶
翰林茶館-新竹巨城店、南紡購物中心店限定
#獨家優惠 #飲料喝好喝滿 #免費續杯 #特大杯續特大杯","活動期間 4/15~5/15 亶獨家 時段 : 舊 :1n""|7 口口 無很暢飲 (內用達低消 第三杯起即可免費續杯0回沖茶除外] 1.本活動不得與其他優惠台併使用 注胄平項 : 2.翰林國際茶餐飲某四保有本傻惡活動解釋 燮更 中止之輜"
